ad_observation_id,depth,temperature,density,salinity,ao_observation_id,latitude,longitude,date,region
5901238_12/09/2006,57.0,11.848,1026.531982,34.888,5901238_12/09/2006,-39.013,130.77,2006-09-12,Indian Ocean
5901240_14/09/2006,99.0,13.564,1026.516968,35.308,5901240_14/09/2006,-38.867,123.504,2006-09-14,Indian Ocean
5901241_15/09/2006,99.0,11.6,1026.639038,34.966,5901241_15/09/2006,-38.652,117.986,2006-09-15,Indian Ocean
5901244_24/09/2006,27.0,20.744,1025.019043,35.596,5901244_24/09/2006,-24.989,106.972,2006-09-24,Indian Ocean
5901247_28/09/2006,69.0,22.812,1024.000977,35.016,5901247_28/09/2006,-20.643,98.005,2006-09-28,Indian Ocean
5901249_01/10/2006,69.0,20.472,1025.229004,35.776,5901249_01/10/2006,-23.315,85.998,2006-10-01,Indian Ocean
1900691_03/10/2006,15.0,19.794,1025.425049,35.796,1900691_03/10/2006,-26.997,75.011,2006-10-03,Indian Ocean
1900692_05/10/2006,63.0,18.828,1025.579956,35.672,1900692_05/10/2006,-26.938,70.036,2006-10-05,Indian Ocean
1900697_17/10/2006,51.0,15.206,1026.281982,35.46,1900697_17/10/2006,-33.017,70.974,2006-10-17,Indian Ocean
1900698_18/10/2006,33.0,14.228,1026.30603,35.216,1900698_18/10/2006,-33.011,76.751,2006-10-18,Indian Ocean
5901251_22/10/2006,87.0,11.016,1026.635986,34.824,5901251_22/10/2006,-43.029,80.075,2006-10-22,Indian Ocean
5901252_23/10/2006,75.0,9.658,1026.713013,34.62,5901252_23/10/2006,-43.006,84.01,2006-10-23,Indian Ocean
5901264_03/11/2006,5.5,9.792,1026.687988,34.616,5901264_03/11/2006,-44.575,128.025,2006-11-03,Indian Ocean
5901266_05/11/2006,5.5,9.552,1026.689941,34.568,5901266_05/11/2006,-44.8,135.994,2006-11-05,Indian Ocean
2900119_01/01/2008,436.0,1.33,1027.801025,34.724,2900119_01/01/2008,-63.387,114.248,2008-01-01,Indian Ocean
2900681_01/01/2008,260.0,12.201,1026.614014,35.081,2900681_01/01/2008,0.939,87.294,2008-01-01,Equatorial Region
1900046_01/01/2008,0.0,12.068,1026.212036,34.531,1900046_01/01/2008,-43.708,121.398,2008-01-01,Indian Ocean
2900758_01/01/2008,5.1,28.419,1022.625,35.487,2900758_01/01/2008,2.46,81.907,2008-01-01,Equatorial Region
2900759_01/01/2008,4.5,27.889,1021.840027,34.211,2900759_01/01/2008,-5.294,85.129,2008-01-01,Equatorial Region
2900761_01/01/2008,1899.0,2.777,1027.704956,34.749,2900761_01/01/2008,-8.836,72.034,2008-01-01,Equatorial Region
2900762_01/01/2008,4.9,27.783,1021.603027,33.851,2900762_01/01/2008,-4.967,79.438,2008-01-01,Equatorial Region
2900115_01/01/2008,1928.0,0.162,1027.828979,34.668,2900115_01/01/2008,-64.603,125.953,2008-01-01,Indian Ocean
2900760_01/01/2008,5.5,27.875,1021.828979,34.191,2900760_01/01/2008,-6.443,89.358,2008-01-01,Equatorial Region
2900121_01/01/2008,502.0,1.172,1027.803955,34.714,2900121_01/01/2008,-63.431,115.941,2008-01-01,Indian Ocean
1900056_01/01/2008,59.2,26.83,1022.963013,35.251,1900056_01/01/2008,-4.401,47.778,2008-01-01,Equatorial Region
1900693_01/01/2008,141.0,19.276,1025.52002,35.744,1900693_01/01/2008,-28.005,65.653,2008-01-01,Indian Ocean
5901642_01/01/2008,798.8,7.264,1027.250977,34.834,5901642_01/01/2008,-5.323,70.972,2008-01-01,Equatorial Region
5901643_01/01/2008,949.4,6.421,1027.404053,34.881,5901643_01/01/2008,-3.414,72.552,2008-01-01,Equatorial Region
5900414_01/01/2008,1750.5,2.955,1027.659058,34.711,5900414_01/01/2008,-16.978,95.503,2008-01-01,Indian Ocean
5901254_01/01/2008,321.0,11.472,1026.682007,34.99,5901254_01/01/2008,-33.964,83.328,2008-01-01,Indian Ocean
5901255_01/01/2008,87.0,13.664,1026.418945,35.208,5901255_01/01/2008,-32.602,89.317,2008-01-01,Indian Ocean
5901095_01/01/2008,4.8,14.058,1025.972046,34.737,5901095_01/01/2008,-41.321,132.903,2008-01-01,Indian Ocean
