date,depth,temperature,density,salinity,latitude,longitude,region
2011-01-01,1750.6,2.27,1027.718018,34.711,-50.866,132.389,Indian Ocean
2011-01-01,29.8,26.243,1023.580017,35.823,16.127,69.19,Arabian Sea
2011-01-01,1084.0,2.251,1027.704956,34.693,-57.04,132.029,Indian Ocean
2011-01-01,19.5,3.055,1026.970947,33.861,-50.658,22.832,Indian Ocean
2011-01-01,2000.9,2.302,1027.713989,34.709,-35.251,127.167,Indian Ocean
2011-01-01,41.0,20.837,1024.833008,35.385,3.29,51.882,Equatorial Region
2011-01-01,1940.0,2.347,1027.696045,34.691,-40.783,135.441,Indian Ocean
2011-01-01,1985.8,2.485,1027.725952,34.743,-12.694,111.548,Indian Ocean
2011-01-01,1000.0,6.751,1027.399048,34.931,9.739,88.302,Bay of Bengal
2011-01-01,1977.0,2.695,1027.723999,34.764,9.306,85.694,Bay of Bengal
2011-01-01,110.6,22.825,1024.439941,35.599,14.417,54.358,Indian Ocean
2011-01-01,299.2,12.473,1026.432007,34.915,-13.246,107.9,Indian Ocean
2011-01-01,749.0,6.323,1027.149048,34.542,-16.721,71.442,Indian Ocean
2011-01-01,799.2,6.056,1027.321045,34.716,-14.712,78.375,Indian Ocean
2011-01-01,149.4,21.873,1024.58606,35.436,-19.249,67.433,Indian Ocean
2011-01-01,279.5,11.039,1026.678955,34.885,-43.415,77.727,Indian Ocean
2011-01-01,1099.3,5.036,1027.412964,34.674,-9.945,95.079,Equatorial Region
2011-01-01,16.0,6.548,1026.72998,34.048,-48.251,124.1,Indian Ocean
2011-01-01,100.0,2.766,1026.954956,33.809,-49.525,67.972,Indian Ocean
2011-01-01,1898.8,2.553,1027.666016,34.675,-38.193,113.067,Indian Ocean
2011-01-01,160.0,1.678,1027.552002,34.446,-60.034,107.484,Indian Ocean
2011-01-01,259.3,12.49,1026.609985,35.148,-30.277,88.706,Indian Ocean
2011-01-01,1836.0,2.64,1027.594971,34.596,-49.0,127.083,Indian Ocean
2011-01-01,69.6,24.118,1023.749023,35.186,-19.155,68.308,Indian Ocean
2011-01-01,1898.8,2.663,1027.650024,34.668,-34.249,95.822,Indian Ocean
2011-01-01,9.6,23.952,1023.838989,35.24,-23.131,85.752,Indian Ocean
2011-01-01,588.0,2.51,1027.478027,34.436,-50.477,35.181,Indian Ocean
2011-01-01,1056.0,2.544,1027.619019,34.616,-49.814,44.858,Indian Ocean
2011-01-01,39.0,7.208,1026.532959,33.912,-46.336,33.254,Indian Ocean
2011-01-01,2000.0,2.759,1027.735962,34.786,2.635,84.731,Equatorial Region
2011-01-01,996.0,2.78,1027.467041,34.452,-44.879,43.725,Indian Ocean
2011-01-01,397.1,11.321,1026.68396,34.957,-35.098,81.71,Indian Ocean
2011-01-01,1236.0,3.77,1027.312988,34.376,-35.781,80.52,Indian Ocean
2011-01-01,69.0,6.73,1026.624023,33.944,-45.777,32.172,Indian Ocean
2011-01-01,1889.0,2.975,1027.714966,34.784,-0.823,83.319,Equatorial Region
2011-01-01,949.2,5.903,1027.439941,34.842,-8.738,44.65,Equatorial Region
2011-01-01,279.9,12.793,1026.56897,35.173,-28.378,81.722,Indian Ocean
2011-01-01,6.0,27.897,1022.732971,35.402,-28.546,47.71,Indian Ocean
2011-01-01,1963.0,1.424,1027.80896,34.742,-50.229,107.94,Indian Ocean
2011-01-01,59.2,10.872,1026.526001,34.649,-43.833,123.689,Indian Ocean
2011-01-01,19.0,17.159,1025.910034,35.564,-38.14,119.07,Indian Ocean
2011-01-01,249.2,12.008,1026.655029,35.086,-33.416,108.248,Indian Ocean
2011-01-01,93.0,23.94,1023.715027,35.072,-22.798,56.301,Indian Ocean
2011-01-01,139.6,5.826,1026.910034,34.159,-48.719,101.873,Indian Ocean
2011-01-01,1599.3,2.787,1027.592041,34.609,-37.691,118.929,Indian Ocean
2011-01-01,1610.0,0.458,1027.828003,34.687,-64.716,38.759,Indian Ocean
2011-01-01,1936.0,1.466,1027.803955,34.74,-57.643,121.964,Indian Ocean
2011-01-01,934.0,5.866,1027.079956,34.38,-36.293,86.449,Indian Ocean
2011-01-01,194.0,1.528,1027.552002,34.432,-59.926,60.166,Indian Ocean
2011-01-01,4.2,17.324,1025.873047,35.567,-38.972,48.952,Indian Ocean
2011-01-01,1939.4,2.546,1027.665039,34.673,-31.498,53.803,Indian Ocean
2011-01-01,95.0,3.947,1026.979004,33.979,-49.114,106.627,Indian Ocean
2011-01-01,1800.0,1.882,1027.782959,34.753,-55.353,127.792,Indian Ocean
2011-01-01,231.0,12.352,1026.593018,35.092,-31.661,85.497,Indian Ocean
2011-01-01,30.3,2.3,1027.040039,33.867,-53.981,63.192,Indian Ocean
2011-01-01,650.2,11.618,1026.677002,35.019,-33.4,37.872,Indian Ocean
2011-01-01,349.3,12.11,1026.633057,35.083,-38.415,78.409,Indian Ocean
2011-01-01,219.4,16.185,1026.248047,35.705,-29.324,109.719,Indian Ocean
2011-01-01,1099.1,4.206,1027.331055,34.455,-29.805,95.553,Indian Ocean
2011-01-01,29.5,21.501,1024.759033,35.527,-32.75,112.414,Indian Ocean
2011-01-01,739.8,3.658,1027.337036,34.392,-42.544,47.273,Indian Ocean
2011-01-01,1299.5,4.221,1027.495972,34.664,-16.589,104.27,Indian Ocean
2011-01-01,36.0,5.021,1026.730957,33.812,-50.579,86.168,Indian Ocean
2011-01-01,359.0,10.191,1026.793945,34.839,-7.86,101.639,Equatorial Region
2011-01-01,2000.2,2.421,1027.728027,34.739,-13.218,71.658,Indian Ocean
2011-01-01,80.3,21.28,1024.840942,35.555,-21.306,96.157,Indian Ocean
2011-01-02,1320.0,0.95,1027.817993,34.713,-62.392,110.698,Indian Ocean
2011-01-02,888.0,7.697,1027.314941,34.995,1.676,78.016,Equatorial Region
2011-01-02,9.0,28.43,1022.909973,35.87,4.097,69.284,Equatorial Region
2011-01-02,1328.0,1.848,1027.776978,34.742,-59.389,127.75,Indian Ocean
2011-01-02,378.3,11.016,1026.801025,35.036,0.551,90.416,Equatorial Region
2011-01-02,14.0,24.324,1024.767944,36.613,20.283,59.134,Indian Ocean
2011-01-02,2006.0,2.901,1027.739014,34.805,5.222,62.444,Equatorial Region
2011-01-02,136.0,17.52,1025.504028,35.148,-0.261,81.256,Equatorial Region
2011-01-02,29.2,27.366,1023.249023,35.859,5.372,64.408,Equatorial Region
